Series Name,Series Code,Country Name,Country Code,1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Bank Z-score,GFDD.SI.01,East Asia & Pacific (IDA total),DEA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Europe & Central Asia (IDA total),DEC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,IBRD only,IBD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,IDA total,IDA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Latin America & Caribbean (IDA total),DLA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Least developed countries: UN classification,LDC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Middle East & North Africa (IDA total),DMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Small island developing states: UN classification,SID,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,South Asia (IDA total),DSA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Sub-Saharan Africa (IDA total),DSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,48.99729,31.96604,19.94573,26.69275,24.95099,18.97911,18.89366,18.98689,16.59461,16.86543,19.55651,17.73415,17.00372,19.31851,17.68296,24.91561
Bank Z-score,GFDD.SI.01,Albania,ALB,..,..,..,22.70429,16.82156,18.19811,15.49718,13.55628,15.71617,14.01966,15.56857,19.17594,20.24039,21.02804,22.15,22.32134,22.08734,22.15308,22.14953,23.78067,21.7047,19.98183,20.55072,20.24314,19.05608
Bank Z-score,GFDD.SI.01,Algeria,DZA,..,..,..,8.788944,9.36163,10.52907,10.32534,9.639084,8.529184,9.497072,10.02454,12.6932,17.72422,19.23774,19.90931,20.49009,20.54717,18.82034,19.96733,22.13776,23.12142,24.28966,22.43565,24.82232,..
Bank Z-score,GFDD.SI.01,Andorra,AND,..,..,..,32.94271,..,..,..,..,..,..,..,..,32.32347,32.91191,27.64352,28.4331,29.63145,28.30516,31.50115,21.04386,25.39093,25.15558,27.46493,29.13949,..
Bank Z-score,GFDD.SI.01,Angola,AGO,..,..,..,..,10.62636,7.43558,9.720601,9.461455,8.902429,8.971141,9.101395,8.391402,9.826188,10.50042,10.48486,9.03674,9.455144,8.564436,8.2767,8.226519,8.975831,12.03643,15.27698,8.44287,15.54836
Bank Z-score,GFDD.SI.01,Antigua and Barbuda,ATG,..,..,..,18.29223,19.29978,19.61845,20.54313,24.69852,20.38857,17.88858,14.74231,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Argentina,ARG,..,..,..,4.915412,6.02341,5.348983,3.198451,4.843886,5.822709,6.632442,6.463908,6.305019,7.069361,7.177739,7.025817,7.497633,7.65534,8.4206,8.448619,7.426713,7.50613,7.21939,9.317062,9.249464,9.083421
Bank Z-score,GFDD.SI.01,Armenia,ARM,..,..,..,9.300473,10.76747,15.34415,13.69358,17.28432,21.59167,22.71038,21.75204,23.90477,18.67494,20.03384,17.66952,16.44,15.40515,13.38436,13.70702,14.90953,14.88844,14.4391,14.2648,12.8254,12.31924
Bank Z-score,GFDD.SI.01,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Australia,AUS,..,..,..,10.741,9.112912,13.33809,17.38322,..,9.890554,17.30745,14.83043,13.71019,14.8441,15.33082,14.39567,13.89547,13.73787,13.48903,13.33152,12.99751,13.63942,13.97005,13.46988,13.24647,14.14526
