Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Bank Z-score,GFDD.SI.01,East Asia & Pacific (IDA total),DEA,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Europe & Central Asia (IDA total),DEC,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,IBRD only,IBD,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,IDA total,IDA,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Latin America & Caribbean (IDA total),DLA,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Least developed countries: UN classification,LDC,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Middle East & North Africa (IDA total),DMN,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Small island developing states: UN classification,SID,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,South Asia (IDA total),DSA,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Sub-Saharan Africa (IDA total),DSS,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Afghanistan,AFG,..,..,18.89366,18.98689,16.59461,16.86543,19.55651,17.73415,17.00372,19.31851,17.68296,24.91561
Bank Z-score,GFDD.SI.01,Albania,ALB,..,22.70429,22.32134,22.08734,22.15308,22.14953,23.78067,21.7047,19.98183,20.55072,20.24314,19.05608
Bank Z-score,GFDD.SI.01,Algeria,DZA,..,8.788944,20.49009,20.54717,18.82034,19.96733,22.13776,23.12142,24.28966,22.43565,24.82232,..
Bank Z-score,GFDD.SI.01,Andorra,AND,..,32.94271,28.4331,29.63145,28.30516,31.50115,21.04386,25.39093,25.15558,27.46493,29.13949,..
Bank Z-score,GFDD.SI.01,Angola,AGO,..,..,9.03674,9.455144,8.564436,8.2767,8.226519,8.975831,12.03643,15.27698,8.44287,15.54836
Bank Z-score,GFDD.SI.01,Antigua and Barbuda,ATG,..,18.29223,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Argentina,ARG,..,4.915412,7.497633,7.65534,8.4206,8.448619,7.426713,7.50613,7.21939,9.317062,9.249464,9.083421
Bank Z-score,GFDD.SI.01,Armenia,ARM,..,9.300473,16.44,15.40515,13.38436,13.70702,14.90953,14.88844,14.4391,14.2648,12.8254,12.31924
Bank Z-score,GFDD.SI.01,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Australia,AUS,..,10.741,13.89547,13.73787,13.48903,13.33152,12.99751,13.63942,13.97005,13.46988,13.24647,14.14526
Bank Z-score,GFDD.SI.01,Austria,AUT,..,19.72025,22.59156,27.50797,26.82064,30.07913,32.52342,34.54782,35.68405,36.66615,31.84211,30.90653
Bank Z-score,GFDD.SI.01,Azerbaijan,AZE,..,7.194723,5.090334,5.775506,6.574747,1.471681,3.811226,5.979235,5.460769,5.426664,5.39014,4.744682
Bank Z-score,GFDD.SI.01,"Bahamas, The",BHS,..,16.78018,17.84337,17.16841,12.99366,15.2718,16.34087,17.4459,17.77508,15.69522,13.54524,13.22551
Bank Z-score,GFDD.SI.01,Bahrain,BHR,..,6.692049,7.485067,8.06957,8.107829,8.311663,8.660233,8.824603,8.34296,8.855496,7.434731,7.814275
Bank Z-score,GFDD.SI.01,Bangladesh,BGD,..,13.40177,15.32456,17.39595,16.54761,17.40561,14.90764,14.76704,14.11607,14.0125,13.64848,12.7788
Bank Z-score,GFDD.SI.01,Barbados,BRB,..,16.32253,16.24925,17.49197,18.66439,16.59562,17.0683,14.93573,..,..,13.33107,13.9577
Bank Z-score,GFDD.SI.01,Belarus,BLR,..,37.27287,20.06017,20.09407,19.87708,16.10306,16.9789,18.70259,18.86887,18.61382,17.6692,17.12395
Bank Z-score,GFDD.SI.01,Belgium,BEL,..,7.882141,12.44705,14.23736,14.36594,15.67043,16.37894,18.16668,17.78204,18.25408,16.52576,15.4485
Bank Z-score,GFDD.SI.01,Belize,BLZ,..,..,..,..,..,8.833839,8.181306,10.25167,10.3004,9.817226,6.773071,..
Bank Z-score,GFDD.SI.01,Benin,BEN,..,12.91856,14.32835,12.0286,..,9.922345,8.608675,7.838364,11.88513,11.90162,..,..
Bank Z-score,GFDD.SI.01,Bermuda,BMU,..,..,25.20727,19.62559,22.03606,22.614,21.16991,23.82868,26.09518,22.26934,20.18716,18.72809
Bank Z-score,GFDD.SI.01,Bhutan,BTN,..,..,..,23.08103,21.42044,21.60773,19.42956,18.26993,18.50756,16.36592,11.20364,12.46007
