Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],Max
Afghanistan,AFG,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,,,9.65,,,9.65
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,,,4.7,,,4.7
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,,,14.79,,,14.79
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,,,5.86,,,5.86
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,,,7.55,,,7.55
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,,,5.18,,,5.18
Afghanistan,AFG,"Average working hours of children, working only, ages 7-14 (hours per week)",SL.TLF.0714.WK.TM,,,,,,0
Afghanistan,AFG,Bribery incidence (% of firms experiencing at least one bribe payment request),IC.FRM.BRIB.ZS,,,,,,0
Afghanistan,AFG,Business extent of disclosure index (0=less disclosure to 10=more disclosure),IC.BUS.DISC.XQ,8,,,,,8
Afghanistan,AFG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,0
Afghanistan,AFG,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,9
Afghanistan,AFG,Control of Corruption: Percentile Rank,CC.PER.RNK,5.714285851,4.761904716,12.38095284,12.26415062,13.679245,13.679245
Afghanistan,AFG,Coverage of social safety net programs (% of population),per_sa_allsa.cov_pop_tot,,,,,,0
Afghanistan,AFG,Coverage of social insurance programs in poorest quintile (% of population),per_si_allsi.cov_q1_tot,,,,,,0
Afghanistan,AFG,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,67.952078,64.471496,62.67188,69.906777,,69.906777
Afghanistan,AFG,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,0
Afghanistan,AFG,Time required to start a business (days),IC.REG.DURS,8.5,,,,,8.5
Algeria,DZA,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,,,44.1,,,44.1
Algeria,DZA,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,,,31.19,,,31.19
Algeria,DZA,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,,,56.83,,,56.83
Algeria,DZA,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,,,31.91,,,31.91
