Row Labels,Z Score Bank,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)","Average working hours of children, working only, ages 7-14 (hours per week)",Bribery incidence (% of firms experiencing at least one bribe payment request),Business extent of disclosure index (0=less disclosure to 10=more disclosure),"Central government debt, total (% of GDP)","Compulsory education, duration (years)",Control of Corruption: Percentile Rank,Coverage of social insurance programs in poorest quintile (% of population),Coverage of social safety net programs (% of population),"Survival to age 65, female (% of cohort)",Technicians in R&D (per million people),Time required to start a business (days)
Afghanistan,24.91561,9.65,4.7,14.79,5.86,5.18,7.55,0,0,8,0,9,13.679245,0,0,69.906777,0,8.5
Angola,15.54836,0,0,0,0,0,0,0,0,4,0,10,30.18867874,0,0,68.636516,0,36
Argentina,9.083421,71.63,73.75,69.56,65.23,57.1,75.37,0,0,7,0,14,52.8571434,21.88078524,41.39872856,86.163347,0,11.5
Australia,14.14526,99.32,100,98.59,98.3,86.48,100,0,0,8,70.01091177,11,95.75471497,0,0,93.408547,0,2
Austria,30.90653,99.95,100,99.9,100,100,100,0,1.3,5,100.0567896,13,90.95237732,0,0,93.266368,0,21
Azerbaijan,4.744682,46.26,38.84,54.59,35.58,30.61,36.38,0,12.1,10,22.18999946,10,22.8571434,0,0,85.660171,0,3.5
"Bahamas, The",13.22551,0,0,0,0,0,0,0,0,3,87.39033166,12,88.20755005,0,0,82.828463,0,11.5
Bahrain,7.814275,0,0,0,0,0,0,0,0,8,111.5980895,9,59.43396378,0,0,91.180304,0,8.3
Bangladesh,12.7788,52.81,43.46,62.86,48.65,46.57,47.8,0,23,6,0,5,18.09523773,0,0,81.950649,0,19.5
Barbados,13.9577,0,0,0,0,0,0,0,0,2,0,11,89.62264252,0,0,87.200547,0,16
Belarus,17.12395,0,0,0,0,0,0,0,0,6,33.24422862,11,56.19047546,41.42840007,47.07457777,86.958716,0,8.5
Belgium,15.4485,99.01,98.65,99.37,97.94,93.81,94.73,0,4.3,8,118.4424091,12,90,0,0,92.223268,0,5
Bermuda,18.72809,0,0,0,0,0,0,0,0,0,0,13,88.679245,0,0,92.818295,0,0
Bhutan,12.46007,0,0,0,0,0,0,0,0,4,111.0078841,0,93.33333588,0,0,82.661172,0,12
Bolivia,8.322064,68.89,63.29,74.04,56.29,55.39,66.36,0,0,1,0,14,25.7142849,1.183501672,97.85402074,73.855092,0,39.5
Bosnia and Herzegovina,15.29255,79.34,70.37,88.71,72.29,57.58,61.03,0,16,3,46.97481914,9,30.6603775,0,0,89.015322,0,80
Botswana,9.001644,58.76,53.86,64.29,47.59,43.8,49.72,0,6.1,7,19.61608146,0,74.76190186,0,0,74.133132,0,48
Brazil,16.35463,84.04,80.87,87.05,81.98,81.28,79.92,0,0,5,98.70988195,14,39.52381134,10.53988034,51.6526428,86.473098,0,16.6
Bulgaria,7.869337,83.97,84.32,83.59,73.87,70.95,88.62,0,10,10,32.7492236,11,50,0,0,86.762875,0,23
Cabo Verde,27.08953,0,0,0,0,0,0,0,0,1,0,10,82.38095093,0,0,89.803917,0,9
Cambodia,26.77147,33.39,32.52,34.41,23.35,28.77,27.65,0,27.1,6,0,0,11.4285717,0,0,78.957722,0,99
Canada,13.85122,99.63,99.51,99.77,99.37,90.16,100,0,0,8,74.5540471,10,94.81131744,0,0,91.987767,0,1.5
Chile,7.446439,87.06,86.62,87.56,86.43,68.85,90,0,0,8,0,12,82.85713959,39.5880468,63.40044389,90.014143,0,4
China,25.01797,88.71,87.34,89.92,83.08,83.02,88.47,0,0,10,0,9,56.19047546,0,0,90.559517,0,8.6
Colombia,4.320385,59.72,56.2,63.51,47.67,48.08,50,0,2.7,9,91.15660694,12,46.19047546,0.570353387,21.23722725,88.044751,0,10
Costa Rica,19.60885,68.49,61.08,76.34,57.23,51.75,77.04,0,5.6,5,71.11157641,13,74.2857132,7.243866904,68.87906688,90.339672,0,23
Cote d'Ivoire,19.02191,50.76,37.44,64.01,44.01,43.99,39.98,0,19.8,7,0,10,44.3396225,0,0,59.718358,0,6
Croatia,7.392629,91.8,89.96,93.93,84.46,80.25,76.11,0,10.1,5,98.43956202,8,59.90565872,0,0,91.201191,0,19.5
Curaçao,11.01254,0,0,0,0,0,0,0,0,0,0,14,0,0,0,90.589427,0,0
Denmark,26.42471,100,100,100,100,100,100,0,3.4,7,0,10,100,0,0,92.531153,0,3.5
Dominican Republic,32.58395,51.3,48.96,53.7,38.88,39.37,31.16,0,0,5,0,15,37.73584747,1.753938023,45.52824742,84.390127,0,16.5
Ecuador,9.514566,64.18,57.95,70.59,59.15,60.21,54.54,0,0,2,0,15,34.76190567,4.175080306,35.18079716,86.675417,0,48.5
"Egypt, Arab Rep.",20.59571,27.44,24.2,30.57,20,25,9.74,0,4.9,8,0,12,28.5714283,0,0,80.987706,0,12.5
El Salvador,20.56678,35.85,29.23,44.8,23.08,27.96,31.65,0,3.1,3,101.7044522,15,33.80952454,2.005091845,83.66776428,81.834864,0,16.5
Estonia,8.421521,99.38,99.6,99.12,99.46,98.39,100,0,0,8,24.90258365,9,92.38095093,0,0,91.100279,0,3.5
Ethiopia,11.55515,46.48,38.74,54.68,34.69,38.97,46.82,0,0,3,31.44884867,8,40.47618866,0,0,74.9233,0,32
Fiji,33.01206,0,0,0,0,0,0,0,0,2,0,0,74.76190186,0,0,69.209864,0,40
Finland,17.11392,99.53,99.08,100,98.82,98.31,96.47,0,2.8,6,0,11,99.52830505,0,0,93.323884,0,13
France,19.97747,99.24,100,98.42,98.4,95.87,99.24,0,1.6,8,123.1485705,13,89.04762268,0,0,92.822394,0,4
Georgia,7.905212,70.5,70.71,70.25,62.45,41.71,54.54,0,1.3,9,65.19331579,9,76.19047546,0,65.97389634,87.716818,0,1
Germany,16.04881,99.98,100,99.95,99.94,100,100,0,2.2,5,0,13,95.75471497,0,0,92.122854,0,8
Ghana,13.92242,68.23,62.58,74.18,54.72,51.59,65.22,0,17,7,0,11,52.83018875,0,0,69.697326,0,13
Greece,6.641998,94.88,93.43,96.33,91.64,91.83,90.14,0,5.5,9,249.4113538,10,59.52381134,0,0,93.564455,0,4
Guatemala,30.71606,36.98,34.35,39.93,33.87,29.04,38.18,0,0,3,0,16,18.5714283,0,0,78.985461,0,15
Guyana,26.12195,0,0,0,0,0,0,0,0,5,0,6,50.47618866,0,0,76.721148,0,18
Haiti,11.54701,0,0,0,0,0,0,0,0,2,0,6,8.571428299,0,0,70.181115,0,97
Honduras,28.60143,37.85,28.85,48.56,26.97,31.83,36.1,0,0,3,0,12,21.4285717,0.202738012,11.19746864,82.010129,0,42
"Hong Kong SAR, China",19.74722,97.8,98.19,97.33,96.46,96.14,88.88,0,2.6,10,0,9,94.2857132,0,0,94.539866,0,1.5
Hungary,7.074254,88.22,86.88,89.73,81.25,71.58,92.49,0,4.7,2,95.93720225,13,58.57143021,0,0,87.281903,0,7
Iceland,1.276241,100,100,100,100,100,100,0,0,7,100.3162621,10,95.23809814,0,0,93.233912,0,11.5
India,19.43808,77.53,77.55,77.51,78.25,75.9,67.5,0,27.2,8,0,8,44.81132126,0,0,78.057246,0,17.5
Indonesia,5.274584,51.76,52.3,51.18,46.93,40.49,54.64,0,20.3,10,45.33655693,9,37.26415253,3.791577587,43.8656004,78.013812,0,12.6
Iraq,37.25005,18.57,14.89,22.21,14.43,15.48,12.49,0,50.5,4,0,6,10.84905624,0,0,81.023534,0,26.5
